,TIME,ID,TYPE,VALUE,PARAM
0,1739531147.1728013,#loeric_4#,receive,59,intensity
1,1739531147.1728013,#loeric_4#,send,59,intensity
2,1739531147.1728013,#loeric_4#,send,82,human_impact
3,1739531147.3338232,#1739530945#,receive,24,intensity
4,1739531147.4710562,#1739530945#,receive,26,intensity
5,1739531147.6612358,#1739530945#,receive,35,intensity
6,1739531147.772883,#1739530945#,receive,36,intensity
7,1739531148.0540943,#1739530945#,receive,34,intensity
8,1739531148.2073228,#1739530945#,receive,33,intensity
9,1739531148.4240673,#1739530945#,receive,30,intensity
10,1739531148.5243554,#1739530945#,receive,22,intensity
11,1739531148.6819053,#loeric_1#,receive,62,intensity
12,1739531148.6819053,#loeric_1#,send,62,intensity
13,1739531148.6819053,#loeric_1#,send,82,human_impact
14,1739531148.8839145,#1739530945#,receive,9,intensity
15,1739531149.061967,#1739530945#,receive,8,intensity
16,1739531149.768647,#1739530945#,receive,10,intensity
17,1739531149.938388,#1739530945#,receive,12,intensity
18,1739531150.4795885,#loeric_3#,receive,71,intensity
19,1739531150.4795885,#loeric_3#,send,71,intensity
20,1739531150.4795885,#loeric_3#,send,82,human_impact
21,1739531150.6232016,#1739530945#,receive,12,intensity
22,1739531150.7144907,#1739530945#,receive,11,intensity
23,1739531150.8258858,#1739530945#,receive,9,intensity
24,1739531151.008907,#loeric_4#,receive,64,intensity
25,1739531151.008907,#loeric_4#,send,64,intensity
26,1739531151.008907,#loeric_4#,send,82,human_impact
27,1739531151.2502053,#1739530945#,receive,3,intensity
28,1739531151.3583634,#1739530945#,receive,4,intensity
29,1739531151.7298298,#1739530945#,receive,10,intensity
30,1739531151.8072276,#loeric_1#,receive,72,intensity
31,1739531151.8072276,#loeric_1#,send,48,intensity
32,1739531151.8072276,#loeric_1#,send,82,human_impact
33,1739531151.848515,#1739530945#,receive,13,intensity
34,1739531151.9733462,#1739530945#,receive,15,intensity
35,1739531152.240424,#1739530945#,receive,18,intensity
36,1739531152.5743294,#loeric_1#,receive,63,intensity
37,1739531152.5743294,#loeric_1#,send,51,intensity
38,1739531152.5743294,#loeric_1#,send,82,human_impact
39,1739531152.5856032,#1739530945#,receive,19,intensity
40,1739531152.6007864,#1739530945#,receive,20,intensity
41,1739531152.7871668,#1739530945#,receive,21,intensity
42,1739531152.798964,#1739530945#,receive,23,intensity
43,1739531153.007457,#1739530945#,receive,25,intensity
44,1739531153.3771155,#loeric_1#,receive,56,intensity
45,1739531153.3771155,#loeric_1#,send,53,intensity
46,1739531153.3771155,#loeric_1#,send,82,human_impact
47,1739531153.4713185,#loeric_3#,receive,71,intensity
48,1739531153.4713185,#loeric_3#,send,71,intensity
49,1739531153.4713185,#loeric_3#,send,82,human_impact
50,1739531153.6804152,#loeric_1#,receive,62,intensity
51,1739531153.6804152,#loeric_1#,send,53,intensity
52,1739531153.6804152,#loeric_1#,send,82,human_impact
53,1739531153.8330755,#loeric_3#,receive,78,intensity
54,1739531153.8330755,#loeric_3#,send,78,intensity
55,1739531153.8330755,#loeric_3#,send,82,human_impact
56,1739531153.8545935,#loeric_3#,receive,82,human_impact
57,1739531153.8545935,#loeric_3#,send,78,intensity
58,1739531153.8545935,#loeric_3#,send,82,human_impact
59,1739531153.8808932,#1739530945#,receive,34,intensity
60,1739531154.2172065,#1739530945#,receive,33,intensity
61,1739531154.4755595,#1739530945#,receive,35,intensity
62,1739531154.4915435,#loeric_3#,receive,76,intensity
63,1739531154.4915435,#loeric_3#,send,76,intensity
64,1739531154.4915435,#loeric_3#,send,82,human_impact
65,1739531154.5838842,#1739530945#,receive,39,intensity
66,1739531154.6428356,#loeric_3#,receive,70,intensity
67,1739531154.6428356,#loeric_3#,send,70,intensity
68,1739531154.6428356,#loeric_3#,send,82,human_impact
69,1739531154.8070338,#1739530945#,receive,37,intensity
70,1739531154.8532844,#1739530945#,receive,34,intensity
71,1739531155.0739155,#loeric_2#,receive,63,intensity
72,1739531155.0739155,#loeric_2#,send,63,intensity
73,1739531155.0739155,#loeric_2#,send,82,human_impact
74,1739531155.1273065,#1739530945#,receive,36,intensity
75,1739531155.132467,#loeric_3#,receive,71,intensity
76,1739531155.132467,#loeric_3#,send,71,intensity
77,1739531155.132467,#loeric_3#,send,82,human_impact
78,1739531155.200246,#loeric_4#,receive,64,intensity
79,1739531155.200246,#loeric_4#,send,64,intensity
80,1739531155.200246,#loeric_4#,send,82,human_impact
81,1739531155.3711557,#1739530945#,receive,46,intensity
82,1739531155.7491887,#loeric_4#,receive,62,intensity
83,1739531155.7491887,#loeric_4#,send,62,intensity
84,1739531155.7491887,#loeric_4#,send,82,human_impact
85,1739531155.9256706,#1739530945#,receive,46,intensity
86,1739531156.0088358,#1739530945#,receive,44,intensity
87,1739531156.501533,#1739530945#,receive,37,intensity
88,1739531156.6892042,#1739530945#,receive,36,intensity
89,1739531156.7301283,#loeric_3#,receive,62,intensity
90,1739531156.7301283,#loeric_3#,send,62,intensity
91,1739531156.7301283,#loeric_3#,send,82,human_impact
92,1739531156.8123627,#1739530945#,receive,33,intensity
93,1739531156.9216697,#loeric_2#,receive,51,intensity
94,1739531156.9216697,#loeric_2#,send,51,intensity
95,1739531156.9216697,#loeric_2#,send,82,human_impact
96,1739531156.9594944,#1739530945#,receive,32,intensity
97,1739531157.2863588,#loeric_1#,receive,68,intensity
98,1739531157.2863588,#loeric_1#,send,52,intensity
99,1739531157.2863588,#loeric_1#,send,82,human_impact
100,1739531157.3230577,#1739530945#,receive,39,intensity
101,1739531157.620645,#1739530945#,receive,48,intensity
102,1739531157.7506084,#1739530945#,receive,53,intensity
103,1739531157.9460537,#1739530945#,receive,57,intensity
104,1739531157.9565146,#1739530945#,receive,60,intensity
105,1739531158.0148365,#loeric_1#,receive,49,intensity
106,1739531158.0148365,#loeric_1#,send,61,intensity
107,1739531158.0148365,#loeric_1#,send,82,human_impact
108,1739531158.0787435,#1739530945#,receive,61,intensity
109,1739531158.16531,#1739530945#,receive,59,intensity
110,1739531158.2654245,#1739530945#,receive,58,intensity
111,1739531158.3560998,#1739530945#,receive,57,intensity
112,1739531158.463425,#1739530945#,receive,56,intensity
113,1739531158.6591983,#1739530945#,receive,51,intensity
114,1739531158.7662585,#1739530945#,receive,46,intensity
115,1739531158.9950216,#1739530945#,receive,39,intensity
116,1739531159.163205,#loeric_2#,receive,59,intensity
117,1739531159.163205,#loeric_2#,send,19,intensity
118,1739531159.163205,#loeric_2#,send,101,human_impact
119,1739531159.201387,#1739530945#,receive,36,intensity
120,1739531159.3133063,#1739530945#,receive,38,intensity
121,1739531159.3794978,#loeric_4#,receive,69,intensity
122,1739531159.3794978,#loeric_4#,send,69,intensity
123,1739531159.3794978,#loeric_4#,send,82,human_impact
124,1739531159.6100566,#1739530945#,receive,41,intensity
125,1739531159.6560497,#loeric_2#,receive,34,intensity
126,1739531159.6560497,#loeric_2#,send,20,intensity
127,1739531159.6560497,#loeric_2#,send,101,human_impact
128,1739531159.754901,#1739530945#,receive,43,intensity
129,1739531160.0969224,#1739530945#,receive,60,intensity
130,1739531160.124274,#loeric_1#,receive,57,intensity
131,1739531160.124274,#loeric_1#,send,63,intensity
132,1739531160.124274,#loeric_1#,send,82,human_impact
133,1739531160.131086,#loeric_4#,receive,60,intensity
134,1739531160.131086,#loeric_4#,send,60,intensity
135,1739531160.131086,#loeric_4#,send,82,human_impact
136,1739531160.1993635,#1739530945#,receive,61,intensity
137,1739531160.2101111,#loeric_3#,receive,64,intensity
138,1739531160.2101111,#loeric_3#,send,64,intensity
139,1739531160.2101111,#loeric_3#,send,82,human_impact
140,1739531160.5783489,#1739530945#,receive,55,intensity
141,1739531160.7156005,#1739530945#,receive,54,intensity
142,1739531160.9108932,#1739530945#,receive,42,intensity
143,1739531161.075732,#loeric_4#,receive,59,intensity
144,1739531161.075732,#loeric_4#,send,59,intensity
145,1739531161.075732,#loeric_4#,send,82,human_impact
146,1739531161.082681,#loeric_1#,receive,69,intensity
147,1739531161.082681,#loeric_1#,send,54,intensity
148,1739531161.082681,#loeric_1#,send,82,human_impact
149,1739531161.4413378,#1739530945#,receive,43,intensity
150,1739531161.5448434,#loeric_4#,receive,58,intensity
151,1739531161.5448434,#loeric_4#,send,58,intensity
152,1739531161.5448434,#loeric_4#,send,82,human_impact
153,1739531161.714852,#loeric_2#,receive,40,intensity
154,1739531161.714852,#loeric_2#,send,21,intensity
155,1739531161.714852,#loeric_2#,send,101,human_impact
156,1739531161.8783913,#1739530945#,receive,52,intensity
157,1739531162.169909,#loeric_4#,receive,66,intensity
158,1739531162.169909,#loeric_4#,send,66,intensity
159,1739531162.169909,#loeric_4#,send,82,human_impact
160,1739531162.3460803,#loeric_4#,receive,83,intensity
161,1739531162.3460803,#loeric_4#,send,83,intensity
162,1739531162.3460803,#loeric_4#,send,82,human_impact
163,1739531162.475485,#1739530945#,receive,52,intensity
164,1739531162.5815306,#1739530945#,receive,48,intensity
165,1739531162.8625488,#1739530945#,receive,48,intensity
166,1739531162.8989356,#loeric_4#,receive,70,intensity
167,1739531162.8989356,#loeric_4#,send,20,intensity
168,1739531162.8989356,#loeric_4#,send,101,human_impact
169,1739531162.9781535,#1739530945#,receive,43,intensity
170,1739531163.0044892,#loeric_2#,receive,32,intensity
171,1739531163.0044892,#loeric_2#,send,21,intensity
172,1739531163.0044892,#loeric_2#,send,101,human_impact
173,1739531163.1776323,#loeric_2#,receive,40,intensity
174,1739531163.1776323,#loeric_2#,send,21,intensity
175,1739531163.1776323,#loeric_2#,send,101,human_impact
176,1739531163.4799476,#1739530945#,receive,38,intensity
177,1739531163.6689904,#1739530945#,receive,31,intensity
178,1739531163.79359,#1739530945#,receive,30,intensity
179,1739531163.9429946,#1739530945#,receive,31,intensity
180,1739531163.9592116,#loeric_1#,receive,65,intensity
181,1739531163.9592116,#loeric_1#,send,54,intensity
182,1739531163.9592116,#loeric_1#,send,82,human_impact
183,1739531164.0534825,#loeric_2#,receive,31,intensity
184,1739531164.0534825,#loeric_2#,send,15,intensity
185,1739531164.0534825,#loeric_2#,send,101,human_impact
186,1739531164.2149463,#1739530945#,receive,32,intensity
187,1739531164.4088302,#1739530945#,receive,34,intensity
188,1739531164.5264564,#1739530945#,receive,33,intensity
189,1739531164.7391186,#loeric_2#,receive,37,intensity
190,1739531164.7391186,#loeric_2#,send,16,intensity
191,1739531164.7391186,#loeric_2#,send,101,human_impact
192,1739531164.8864033,#loeric_4#,receive,37,intensity
193,1739531164.8864033,#loeric_4#,send,16,intensity
194,1739531164.8864033,#loeric_4#,send,101,human_impact
195,1739531164.91958,#1739530945#,receive,36,intensity
196,1739531164.9354033,#loeric_1#,receive,63,intensity
197,1739531164.9354033,#loeric_1#,send,45,intensity
198,1739531164.9354033,#loeric_1#,send,82,human_impact
199,1739531165.0141015,#loeric_2#,receive,34,intensity
200,1739531165.0141015,#loeric_2#,send,18,intensity
201,1739531165.0141015,#loeric_2#,send,101,human_impact
202,1739531165.031583,#1739530945#,receive,37,intensity
203,1739531165.0939345,#loeric_4#,receive,38,intensity
204,1739531165.0939345,#loeric_4#,send,17,intensity
205,1739531165.0939345,#loeric_4#,send,101,human_impact
206,1739531165.1514938,#1739530945#,receive,40,intensity
207,1739531165.3254926,#1739530945#,receive,45,intensity
208,1739531165.3931193,#loeric_1#,receive,52,intensity
209,1739531165.3931193,#loeric_1#,send,49,intensity
210,1739531165.3931193,#loeric_1#,send,82,human_impact
211,1739531165.4921381,#loeric_3#,receive,62,intensity
212,1739531165.4921381,#loeric_3#,send,62,intensity
213,1739531165.4921381,#loeric_3#,send,82,human_impact
214,1739531165.5399418,#1739530945#,receive,46,intensity
215,1739531165.540623,#loeric_4#,receive,37,intensity
216,1739531165.540623,#loeric_4#,send,17,intensity
217,1739531165.540623,#loeric_4#,send,101,human_impact
218,1739531165.5571058,#loeric_2#,receive,35,intensity
219,1739531165.5571058,#loeric_2#,send,18,intensity
220,1739531165.5571058,#loeric_2#,send,101,human_impact
221,1739531165.6854033,#1739530945#,receive,45,intensity
222,1739531165.8139598,#loeric_3#,receive,62,intensity
223,1739531165.8139598,#loeric_3#,send,62,intensity
224,1739531165.8139598,#loeric_3#,send,82,human_impact
225,1739531165.8825486,#1739530945#,receive,48,intensity
226,1739531165.9848046,#1739530945#,receive,50,intensity
227,1739531166.1588132,#1739530945#,receive,48,intensity
228,1739531166.2958295,#1739530945#,receive,45,intensity
229,1739531166.5180545,#1739530945#,receive,43,intensity
230,1739531166.626599,#1739530945#,receive,42,intensity
231,1739531166.8989356,#1739530945#,receive,41,intensity
232,1739531166.9047806,#1739530945#,receive,39,intensity
233,1739531167.169943,#loeric_1#,receive,49,intensity
234,1739531167.169943,#loeric_1#,send,46,intensity
235,1739531167.169943,#loeric_1#,send,82,human_impact
236,1739531167.2027292,#loeric_2#,receive,28,intensity
237,1739531167.2027292,#loeric_2#,send,18,intensity
238,1739531167.2027292,#loeric_2#,send,101,human_impact
239,1739531167.30086,#1739530945#,receive,47,intensity
240,1739531167.31719,#loeric_4#,receive,33,intensity
241,1739531167.31719,#loeric_4#,send,14,intensity
242,1739531167.31719,#loeric_4#,send,101,human_impact
243,1739531167.339053,#1739530945#,receive,57,intensity
244,1739531167.364932,#loeric_3#,receive,58,intensity
245,1739531167.364932,#loeric_3#,send,14,intensity
246,1739531167.364932,#loeric_3#,send,101,human_impact
247,1739531167.4524646,#1739530945#,receive,63,intensity
248,1739531167.4939907,#loeric_3#,receive,27,intensity
249,1739531167.4939907,#loeric_3#,send,14,intensity
250,1739531167.4939907,#loeric_3#,send,101,human_impact
251,1739531167.5974767,#1739530945#,receive,67,intensity
252,1739531167.9436204,#1739530945#,receive,77,intensity
253,1739531168.0662086,#1739530945#,receive,80,intensity
